11110,10934,14724,8673,14724,15045,8552,11836,12265,14724,11728,10450,11482,10373,11478,10628,14724,14724,10663,14724,14724,11290,14724,10948,11482,9300,11426,8272,14724,8945,13309,14724,9133,14724,14724,10113,10926,10559,10382,9267,9023,8861,4076,231,572,4729,3945,8464,4601,4457,6821,7576,3903,4489,4135,5154,4767,8695,5713,29291,13020,12770,12566,11150,20692,21750,27006,23001,10849,10875,10153,20657,25103,11721,9971,7914,10376,10435,8959,9134,8787,13434,11559,12346,8154,18728,23572,18172,22716,23037,21484,22941,25838,20918,24057,12875,24726,25697,24726,24952,25779,9799,17022,15398,10410,15605,15406,15306,22991,26827,20226,20119,28845,30711,28743,23328,23448,23075,27277,33509,17405,17906,26629,21521,23101,14541,25443,12884,11724,9055,8839,11860,9570,11860,11841,12026,8464,9533,4601
12414,12238,13573,10018,13573,13897,9548,12538,13569,13573,13032,11754,12786,11994,12782,11932,13573,13573,11967,13573,13573,12594,13573,12252,12786,10922,12230,8822,13573,10249,14415,13573,10420,13573,13573,10246,12573,12207,12029,10915,10670,10508,5925,2640,2911,3592,5625,7310,4425,6290,8462,6463,5576,6413,5428,3999,3628,9695,4779,28204,12024,11774,11479,10155,19547,20663,27556,21914,11399,10084,10797,19662,24016,10605,8064,6947,9232,9440,7814,8047,7792,12290,9859,10380,7187,19409,24122,18722,22645,22966,21346,22764,25660,21469,23880,11731,25276,25520,25276,24766,25592,11043,18669,17019,12031,16910,16854,16610,23845,27377,21105,21220,27758,31762,29293,23878,24089,23717,27827,34603,18437,19210,27270,22442,23742,15890,25993,14188,10729,10503,10287,10865,11019,10865,13289,13254,7310,11180,4425
11110,10934,14724,8673,14724,15045,8552,11836,12265,14724,11728,10450,11482,10373,11478,10628,14724,14724,10663,14724,14724,11290,14724,10948,11482,9300,11426,8272,14724,8945,13309,14724,9133,14724,14724,11700,12303,12051,11873,10759,10514,10352,4482,1373,1027,4605,5436,8333,4008,4863,8168,7187,5394,4851,5723,5029,4642,8695,5713,29291,14607,14357,12566,12738,20692,21750,27006,23001,10849,10875,11740,22390,25103,12794,9971,9501,10376,12023,8959,9134,10375,13434,11559,12568,9741,20316,23572,18172,24303,24625,23071,24529,27425,20918,25645,12875,24726,27285,24726,26540,27367,11387,18513,15398,10410,15605,16894,15306,24579,26827,20226,20119,28845,32299,28743,23328,25035,24663,27277,33509,17405,17906,28216,21521,24688,14541,25443,12884,11724,10642,10330,11860,9570,11860,13329,12026,8333,9533,4008
10107,9930,13860,7686,13860,14829,7561,10834,11262,13860,10725,9438,10479,9304,10475,9625,13860,13860,9659,13860,13860,10287,13860,9936,10479,8231,10424,7280,13860,7943,12306,13860,8131,13860,13860,9132,9773,9407,9229,8115,7870,7708,2544,1780,2113,6256,2949,9991,6133,2926,5257,9103,2908,2958,3327,6681,6294,14295,4870,28474,12284,12033,11749,10407,19874,20933,26015,22183,9858,10117,9172,19921,24286,11050,9154,7244,9559,9764,8141,8317,8044,12617,10742,13125,7484,17748,22580,17181,21735,22056,20503,21960,24857,19927,23076,12058,23735,24716,23735,23971,24798,8818,15869,14329,9341,14593,14444,14294,22085,25835,19222,19115,28028,29804,27751,22337,22467,22094,26285,32506,16402,16903,25648,20518,22120,13554,24451,11872,10988,8074,7844,11124,8513,11124,10859,11119,9991,8378,6133
10455,10279,11297,8185,11297,11620,7472,10462,11610,11297,11073,9921,10827,10162,10823,9973,11297,11297,10007,11297,11297,10635,11297,10419,10827,9089,10154,6746,11297,8371,12339,11297,8344,11297,11297,8005,10501,10134,9956,8842,8597,8436,4075,3599,4078,5638,3724,8696,6472,4456,6389,8510,3725,4562,3356,6046,5675,7936,2722,25921,9691,9441,9196,7743,17352,18380,25668,19630,9323,8008,8557,17329,21733,8332,6632,4546,7037,7047,5619,5764,5397,10095,8220,10195,4786,16981,22195,16768,20216,20538,18918,20335,23232,19541,21452,9536,23349,23091,23349,22337,23164,8802,15924,15186,10199,14960,14699,14637,21681,25489,19029,19144,25475,29904,27405,21990,21925,21553,25939,32527,16670,17156,25314,20366,21578,14057,23917,12355,8395,8348,8132,8531,9047,8531,11134,11014,8696,9293,6472
9460,9284,13128,7064,13128,13748,6903,10187,10615,13128,10078,8800,9832,8857,9828,8978,13128,13128,9013,13128,13128,9640,13128,9298,9832,7785,9777,6622,13128,7295,11659,13128,7483,13128,13128,8463,9396,9030,8852,7738,7493,7331,2733,1882,2223,6358,2449,10093,6251,3114,5285,9204,2397,3240,2485,6782,6395,9916,4064,27743,11432,11181,11018,9555,19143,20201,25356,21452,9199,9225,8502,19069,23555,10198,8422,6392,8828,8912,7410,7586,7192,11886,10010,12273,6632,17078,21922,16522,21065,21387,19833,21291,24187,19269,22407,11327,23076,24047,23076,23302,24129,8149,15492,13882,8894,13956,13755,13656,21341,25177,18576,18469,27297,29061,27093,21678,21797,21425,25627,31859,15755,16256,24979,19871,21451,12936,23793,11234,10136,7404,7189,10272,7920,10272,10191,10376,10093,8003,6251
11013,10837,14766,8592,14766,15735,8467,11740,12168,14766,11631,10344,11385,10300,11381,10531,14766,14766,10565,14766,14766,11193,14766,10842,11385,9028,11330,8186,14766,8849,13212,14766,9037,14766,14766,10018,10068,10061,10092,8735,8549,8571,2415,2084,2417,6560,3836,10295,6436,2796,6101,9406,3794,2829,4213,6985,6597,14895,5777,29381,13161,12910,12656,11283,20781,21839,26921,23090,10764,11023,10058,20798,25193,11926,10060,8121,10466,10641,9048,9224,8920,13524,11648,13741,8361,18634,23487,18087,22621,22943,21389,22846,25743,20833,23963,12965,24641,25603,24641,24858,25685,9705,16732,15125,10137,15499,15307,15200,22971,26741,20128,20022,28935,30691,28657,23243,23353,22981,27191,33412,17308,17809,26534,21424,23006,14544,25357,12778,11865,8960,8730,12001,9376,12001,11722,12006,10295,9241,6436
6556,6920,3670,7081,3670,3739,6589,6104,7626,3670,6555,7764,6509,9500,6750,6527,3670,3670,6641,3670,3670,6547,3670,9013,6509,8265,5706,5773,3670,6421,7721,3670,6302,3670,3670,3959,9736,9370,9228,8192,7919,7664,11550,12830,13308,14334,9679,17161,15466,11645,9081,17514,9804,12062,9323,14619,14370,16433,7425,18872,2649,3297,3460,2133,11629,11016,18402,12234,3196,3622,4150,10539,14343,9490,10504,7340,6976,7957,8566,4742,5409,11235,10609,11418,6497,9321,14929,9502,11774,12095,10449,11931,14827,12275,13047,8323,16083,14687,16083,13850,14677,5367,11749,12523,9537,10455,10085,10329,14128,18223,12069,12185,18459,21538,20139,14724,14291,14000,18673,25567,9403,10421,16914,13407,14025,11679,16792,9052,4619,6450,6621,4839,7614,4839,8336,6641,17161,8322,15466
5967,6331,3108,6468,3108,3108,5905,5425,7037,3108,5965,7169,5919,8887,6161,5932,3108,3108,6046,3108,3108,5958,3108,8400,5919,7652,5117,5179,3108,5807,7147,3108,5708,3108,3108,3353,9130,8764,8622,7586,7313,7058,10580,12014,12493,13519,8715,16346,14650,10675,8475,16699,8834,11092,8347,13804,13555,15744,6620,19565,2749,3397,3260,1318,11429,11709,18006,12927,2602,2947,3544,10639,15036,9390,9699,6522,6776,7858,7949,4158,4565,11035,10409,11319,5650,9259,14532,9105,12495,12817,11141,12614,15511,11879,13731,8123,15686,15370,15686,14616,15443,4766,11303,11933,8924,10006,9638,9684,13960,17826,11673,11788,19152,22183,19742,14328,14204,13831,18276,25171,9007,10024,17593,13010,13857,10999,16395,8373,4520,5844,6015,4191,7009,4191,7735,6038,16346,7717,14650
8691,9055,5805,9216,5805,5875,8724,8239,9761,5805,8690,9899,8644,11635,8885,8662,5805,5805,8776,5805,5805,8682,5805,11148,8644,10401,7841,7908,5805,8556,9856,5805,8437,5805,5805,6621,12398,12032,11890,10854,10581,10326,13249,14673,15152,16177,11384,16988,17309,13345,11609,17732,11503,13762,11016,16463,16214,20900,8690,16801,2750,3058,2889,4088,9740,8907,20568,10158,5331,5758,6812,8365,12272,8817,10269,7944,6400,7295,8015,4827,6062,10403,9930,10959,7115,9585,17095,11668,12038,12359,10713,12195,14955,14441,13311,6598,14968,14423,14968,14114,14941,8019,14391,14658,11673,12621,12726,12495,14392,20389,14235,14351,16388,21802,22305,16890,14555,14264,20839,27733,11570,12587,17178,15573,14289,13814,16292,11188,4360,9112,9283,4882,9811,4882,10988,8809,16988,10518,17309
17998,18312,19756,20419,19769,19716,20910,17688,17538,19769,17619,19175,17626,21294,17907,18717,19769,19769,18445,19769,19769,17818,19769,19215,17626,20776,17917,21344,19769,20191,16172,19769,20360,19769,19769,20174,20484,20529,20291,20696,20628,20964,26857,29176,29517,32729,25089,35773,33194,26699,23741,35913,25287,26980,25458,33073,32766,43737,25562,21149,22909,23557,23975,21426,28447,27096,6415,26042,19926,21287,19206,27165,23788,29619,30301,25949,27489,28086,28551,24953,23993,31748,31122,31548,25078,12065,14198,12449,14589,14039,12116,12907,13185,12806,12615,28836,14052,13781,14052,12147,11734,19411,14431,17052,20928,15358,14325,15244,7575,5670,9103,9210,20737,4323,5381,8433,7936,8123,4832,5770,12073,12961,4986,7641,8149,16917,13794,17058,24741,20123,20228,24412,19914,24412,17796,16910,35773,20446,33194
18671,18985,20429,21092,20442,20390,21583,18362,18211,20442,18293,19848,18299,21967,18580,19390,20442,20442,19119,20442,20442,18491,20442,19888,18299,21449,18590,22017,20442,20865,16845,20442,21033,20442,20442,20861,21172,21217,20979,21384,21316,21652,27544,29864,30205,33417,25776,36461,33882,27387,24428,36600,25975,27668,26146,33761,33453,43651,26235,21822,23597,24245,24649,22113,29121,27769,6705,26715,20599,21960,19893,27376,24461,30307,30974,26637,28163,28774,29225,25626,24680,32421,31795,32235,25765,12752,14871,13122,15277,14727,12803,13595,13396,13480,13302,29509,14725,13991,14725,12732,11944,20098,15119,17726,21602,16032,15013,15917,8263,6343,9776,9883,21410,4522,5571,9107,8624,8811,5120,5629,12746,13634,5674,8314,8837,17590,14468,17732,25428,20811,20915,25100,20601,25100,18483,17598,36461,21134,33882
17171,17485,16599,19676,16599,16599,19539,16882,16710,16599,16792,18348,16799,20467,17079,17890,16599,16599,17618,16599,16599,16991,16599,18388,16799,19949,17090,19485,16599,18982,15345,16599,18955,16599,16599,18180,18588,18632,18394,18703,18635,18971,24863,27183,27524,30736,23095,33780,31201,24706,21747,33919,23294,24987,23465,31080,30772,40719,23736,17704,20215,20864,22037,19432,25002,23651,3646,22597,18050,19410,17212,23396,20343,26992,28365,23956,25553,25465,26616,23017,21999,29812,29186,28920,23084,9580,10753,9924,11426,10876,8952,9744,11005,9361,9451,26900,10606,11627,10606,8983,9554,17417,12932,16256,20101,14531,12429,14417,5055,3173,8290,8396,17292,4004,3925,5788,5159,5136,2317,7892,11246,12155,1823,6798,5257,16120,10108,16252,22001,18130,18234,22323,18041,22323,15820,14946,33780,18574,31201
12186,12621,10852,13927,10852,10852,13790,11898,12848,10852,11837,14037,11814,16346,12083,12905,10852,10852,12633,10852,10852,12006,10852,14944,11814,15112,11595,13770,10852,13267,11533,10852,13240,10852,10852,12967,16334,16232,16090,15054,14781,14526,20017,22305,22646,25522,18143,28375,25987,19859,16900,28706,18341,20291,18894,25866,25559,34049,17988,12691,14305,14953,16289,14149,19989,18638,5140,17584,12301,13662,12047,17372,15330,21081,22617,18672,19805,19555,20867,17268,16716,24064,23437,23010,17801,3669,5233,4175,6294,5744,2689,4629,5883,3257,4326,21151,5616,6510,5616,3829,4451,12252,11979,15171,16384,11032,10970,11025,2871,5462,4989,5096,12279,9765,7124,2517,2706,2412,5912,13649,8145,9061,5165,6041,2553,15035,5102,13139,16288,13312,13484,16610,14205,16610,13727,11194,28375,14968,25987
11322,11758,9671,13074,9671,9671,12888,11035,11985,9671,10973,13173,10950,15493,11219,12041,9671,9671,11770,9671,9671,11142,9671,14080,10950,14259,10693,12867,9671,12414,10669,9671,12308,9671,9671,11718,15456,15370,15228,14192,13919,13665,19116,21374,21715,24218,17212,27082,24738,18959,16000,27402,17411,19429,17646,24563,24255,29400,17085,10917,12785,13434,15386,12734,18210,16807,7262,15753,11398,12759,11153,15076,13555,19562,21714,17257,18902,18035,19964,16366,15301,23161,22535,21195,16386,2499,2948,3041,4039,3735,392,2680,5482,963,3696,20249,3931,5474,3931,4445,5272,11381,11707,14300,15530,10159,10091,10152,4800,7428,5489,5595,10504,11881,9246,4427,4635,4341,7878,15607,8248,8913,7257,6663,4482,15658,4639,13096,14730,12450,12622,15396,13326,15396,12848,10315,27082,14089,24738
11322,11758,9671,13074,9671,9671,12888,11035,11985,9671,10973,13173,10950,15493,11219,12041,9671,9671,11770,9671,9671,11142,9671,14080,10950,14259,10693,12867,9671,12414,10669,9671,12308,9671,9671,11718,15456,15370,15228,14192,13919,13665,19116,21374,21715,24218,17212,27082,24738,18959,16000,27402,17411,19429,17646,24563,24255,29400,17085,10917,12785,13434,15386,12734,18210,16807,7262,15753,11398,12759,11153,15076,13555,19562,21714,17257,18902,18035,19964,16366,15301,23161,22535,21195,16386,2499,2948,3041,4039,3735,392,2680,5482,963,3696,20249,3931,5474,3931,4445,5272,11381,11707,14300,15530,10159,10091,10152,4800,7428,5489,5595,10504,11881,9246,4427,4635,4341,7878,15607,8248,8913,7257,6663,4482,15658,4639,13096,14730,12450,12622,15396,13326,15396,12848,10315,27082,14089,24738
11322,11758,9671,13074,9671,9671,12888,11035,11985,9671,10973,13173,10950,15493,11219,12041,9671,9671,11770,9671,9671,11142,9671,14080,10950,14259,10693,12867,9671,12414,10669,9671,12308,9671,9671,11718,15456,15370,15228,14192,13919,13665,19116,21374,21715,24218,17212,27082,24738,18959,16000,27402,17411,19429,17646,24563,24255,29400,17085,10917,12785,13434,15386,12734,18210,16807,7262,15753,11398,12759,11153,15076,13555,19562,21714,17257,18902,18035,19964,16366,15301,23161,22535,21195,16386,2499,2948,3041,4039,3735,392,2680,5482,963,3696,20249,3931,5474,3931,4445,5272,11381,11707,14300,15530,10159,10091,10152,4800,7428,5489,5595,10504,11881,9246,4427,4635,4341,7878,15607,8248,8913,7257,6663,4482,15658,4639,13096,14730,12450,12622,15396,13326,15396,12848,10315,27082,14089,24738
12686,13121,11034,14438,11034,11034,14251,12399,13348,11034,12337,14537,12314,16857,12583,13405,11034,11034,13133,11034,11034,12506,11034,15628,12314,15622,12056,14230,11034,13777,12033,11034,13671,11034,11034,11718,15456,15370,15228,14192,13919,13665,19116,21374,21715,24218,17212,27082,24738,18959,16000,27402,17411,19429,17646,24563,24255,31827,18449,9495,12785,13434,16750,12734,16788,15386,8933,14332,12762,14123,11153,15076,12133,19562,23078,17257,20266,18035,21328,17729,15301,24223,23898,21195,16386,2499,1911,4404,4039,3735,392,2680,5482,1638,3696,20279,2509,5474,2509,4445,5272,11381,11707,15429,16894,11288,10091,11280,4800,9099,7172,7279,9082,11881,10917,6099,4635,4341,9549,17279,9611,10041,7257,8346,4482,16787,3218,14460,13749,12450,12622,15517,14687,15517,12848,11676,27082,15450,24738
6916,6740,11115,4495,11115,11638,4370,7644,8071,11115,7534,6247,7288,6273,7284,6434,11115,11115,6469,11115,11115,7096,11115,6745,7288,5201,7234,4090,11115,4752,9115,11115,4940,11115,11115,13079,16469,16367,16225,15189,14916,14661,20151,22440,22780,25634,18278,28486,26099,19994,17035,28818,18476,20426,19006,25978,25671,14441,2097,26105,14465,15113,9380,14284,17838,18563,22824,19814,6667,6926,12182,17185,21917,21241,8207,18807,7952,19715,7197,5940,16851,11672,9795,23304,17936,3791,19390,13990,5325,4775,2502,3660,4992,16736,3357,10022,20544,5619,20544,2938,3575,12387,12258,11264,6310,11403,11105,11103,4009,22645,16032,15925,25659,10868,24560,19146,3845,3550,23095,29315,13211,13712,6278,17327,3692,10363,21261,8681,8514,13447,13618,8585,5342,8585,13862,7916,28486,5420,26099
